contactid,userid,moduleid,operatetime
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2018-01-02 09:33:52.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2018-11-22 11:17:45.560
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,4,2018-11-21 13:53:53.147
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2015-11-12 09:32:46.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2019-04-24 11:57:00.873
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2015-09-03 14:31:39.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2015-10-29 14:50:08.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1012,2017-10-08 14:33:38.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2017-07-31 12:21:33.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1011,2018-06-04 15:54:38.960
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2017-01-01 08:50:35.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,17,2018-03-27 11:24:47.703
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,27,2018-04-22 15:43:03.250
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1011,2018-08-28 16:09:17.253
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,4,2018-05-30 08:12:13.903
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1012,2017-11-17 17:58:49.623
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2015-05-14 17:03:51.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,4,2015-10-16 15:29:27.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2016-12-11 16:34:20.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,17,2015-08-26 12:06:18.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2016-01-12 11:17:11.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,4,2018-12-10 11:24:10.470
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2018-03-17 08:28:06.800
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1011,2018-10-15 15:13:34.383
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2015-11-17 10:51:43.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2018-06-26 17:13:17.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2016-09-20 11:53:03.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,20,2016-11-04 08:30:41.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2018-06-27 14:12:32.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2015-06-26 16:58:21.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1011,2017-07-13 12:10:46.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1016,2018-05-08 14:13:48.717
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2017-11-24 10:45:00.127
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2016-07-17 09:56:14.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,17,2018-04-23 11:32:31.960
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,17,2016-02-23 10:22:53.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2016-03-08 10:47:13.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2016-12-08 09:48:19.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2017-06-05 11:26:03.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2016-05-13 10:04:09.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2018-07-10 17:54:34.437
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1012,2017-12-18 17:15:00.077
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1012,2017-10-22 09:12:59.740
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2015-11-11 08:21:31.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2016-03-03 12:48:00.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1012,2017-10-16 11:05:40.517
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2017-04-27 12:09:37.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2015-10-09 17:35:35.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2016-08-27 11:22:44.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2017-09-11 10:42:12.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,27,2018-08-05 16:47:06.697
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1016,2018-03-23 11:50:50.617
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,27,2018-08-28 16:57:06.810
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1012,2017-04-15 10:06:48.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2015-07-19 15:08:11.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,4,2015-07-19 15:17:00.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2016-01-28 10:29:56.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2015-11-28 09:12:47.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1013,2018-05-24 16:18:22.267
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2018-05-31 10:20:17.527
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2018-03-02 08:57:56.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2016-11-09 11:31:59.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1011,2018-01-22 09:45:34.717
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,27,2018-09-20 11:19:52.913
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1015,2017-06-02 17:05:57.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1016,2017-05-26 10:39:55.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1010,2018-04-01 13:11:21.247
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,27,2018-02-24 11:07:37.533
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1012,2017-09-18 12:40:43.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1012,2018-07-10 17:55:31.153
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2018-08-09 14:05:31.647
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,17,2015-08-29 13:53:59.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,17,2017-07-10 10:21:02.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1012,2018-02-10 17:01:49.710
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,4,2019-05-17 10:32:11.647
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,4,2016-01-28 08:21:44.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,17,2015-11-15 15:20:46.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2015-08-12 13:25:44.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2018-01-08 10:11:35.383
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2016-10-23 09:55:14.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2015-11-09 12:51:15.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1011,2018-04-24 15:34:41.573
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2015-10-05 13:33:20.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2018-03-29 15:50:37.443
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1011,2018-06-04 11:22:18.117
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2015-12-04 15:52:47.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2015-11-04 11:03:11.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1011,2018-04-01 16:16:16.327
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2015-06-01 13:29:58.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,27,2018-10-28 16:42:29.573
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2018-04-27 08:04:51.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2016-02-19 08:55:35.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2016-01-01 16:28:52.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1012,2018-06-17 11:48:04.370
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2015-10-30 13:11:36.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2019-01-22 15:51:47.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2017-11-24 09:35:37.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,4,2015-07-15 16:38:13.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2015-08-28 11:57:08.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2015-07-27 16:28:14.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1012,2017-04-24 13:30:13.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,14,2016-01-06 09:08:28.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2015-12-08 16:49:38.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2017-07-15 09:35:17.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,4,2015-07-25 11:02:10.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2017-08-21 14:05:02.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2018-09-25 12:30:00.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,17,2018-10-06 12:13:43.800
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2015-11-09 12:46:31.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2018-03-05 08:51:29.203
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1012,2018-01-21 10:56:44.057
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2015-07-03 09:17:59.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2015-10-10 11:50:36.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1011,2017-12-18 09:44:54.580
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2018-11-06 13:28:13.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,17,2017-07-31 10:31:45.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2017-12-31 13:43:19.557
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1012,2018-01-29 09:51:14.120
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,27,2018-08-23 09:05:34.750
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,17,2016-05-01 17:06:43.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,4,2016-03-09 11:20:20.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2018-07-12 15:49:08.987
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1012,2018-02-10 11:20:21.573
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2019-04-09 10:57:52.997
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,17,2018-03-16 17:28:31.307
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2018-08-24 11:59:37.417
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,17,2015-12-04 14:11:29.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1012,2017-05-18 11:20:57.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2016-01-01 09:11:54.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2018-05-17 12:10:09.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2016-05-01 17:14:04.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2017-08-23 17:17:36.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1012,2018-02-05 12:04:59.403
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2015-07-19 15:09:29.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1012,2018-05-19 16:29:13.470
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2017-11-20 12:17:57.190
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2018-03-05 09:02:21.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,17,2015-10-22 17:31:43.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1011,2017-09-02 11:50:30.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2015-06-02 12:16:18.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,4,2017-04-11 09:41:21.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,17,2018-06-23 09:44:14.267
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2015-08-17 10:12:06.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1012,2018-05-10 14:10:54.947
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2017-06-28 15:05:06.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2016-10-21 17:20:15.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1012,2017-09-18 12:13:48.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1012,2018-01-08 10:51:18.330
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2018-03-05 08:51:05.290
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2018-02-03 09:35:15.353
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2019-03-27 15:52:53.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,14,2016-01-06 15:10:03.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2015-12-18 10:25:53.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2018-01-04 16:33:57.133
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,1,2016-05-19 10:42:35.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2016-11-16 09:44:07.000
69C96DD8-1A09-4476-9EF6-A08711DF2E4D,79635CD5-3589-4E7E-A5F3-1036190938AC,2,2015-06-02 12:15:18.000
